MONTH,QUANTITY
201008,33803
201009,18108
201010,14210
201011,30709
201012,43167
201101,44312
201102,22649
201103,21707
201104,8210
201105,15139
201106,22831
201107,24299
201108,26392
201109,17359
201110,36217
201111,25502
201112,31174
201201,9378
201202,11552
201203,9740
201204,12956
201205,22509
201206,25859
201207,24556
201208,29438
201209,21689
201210,59929
201211,69856
201212,36701
201301,43604
201302,13939
201303,33636
201304,38912
201305,43931
201306,35400
201307,40349
201308,32901
201309,52995
201310,140018
201311,57820
201312,61023
201401,54600
201402,41218
201403,67474
201404,84270
201405,42875
201406,43773
201407,37328
